n_clusters,silhouette_score,davies_bouldin_score,calinski_harabasz_score,inertia,minimum_cluster_size,maximum_cluster_size
2,0.3614526747961719,1.0408441897970782,184.40390548800426,2867.68917732266,90,160
3,0.2419483101175358,1.6981517243627111,131.52822483113417,2421.300624308839,66,98
4,0.22925823794641037,1.7311648742101875,103.67152806007418,2208.2007095204394,33,86
5,0.21751935193903077,1.7212477935694928,85.66102361366313,2084.5951002652864,24,86
6,0.15279134320823795,1.9586289730438926,74.95955663416969,1971.5649169724984,20,58
