model,mae,rmse,r2,mean_residual,median_absolute_error,maximum_absolute_error,param_alpha,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
ridge_regression,2.8872657820538645,3.5172010320510942,0.9644560075273011,-0.026652598922473566,2.6659565071736466,10.600956725382318,10.0,,,,,
ridge_regression,2.8874095713006946,3.5178054168284185,0.9644437909417257,-0.02740099312301634,2.631173094564346,10.595264434954103,5.0,,,,,
ridge_regression,2.887696488854709,3.5186220872682674,0.9644272800367435,-0.027965401906300744,2.6161835037311647,10.592307520439064,2.0,,,,,
ridge_regression,2.887829743527859,3.518997574735291,0.9644196873923045,-0.02818032277334339,2.625859029413043,10.59149024813884,1.0,,,,,
ridge_regression,2.887905049388207,3.519208510629994,0.9644154217513929,-0.0282938312785121,2.631360037310756,10.591126191526612,0.5,,,,,
ridge_regression,2.8879698689392335,3.5193893697101886,0.9644117641338089,-0.02838779825070112,2.635837215193021,10.590859665907303,0.1,,,,,
ridge_regression,2.8879850424477778,3.5194316156572065,0.9644109097425537,-0.028409345935051993,2.6368542576793956,10.590802959951588,0.01,,,,,
ridge_regression,2.8879865720076445,3.5194358723640082,0.9644108236534173,-0.028411509080630375,2.6369561608792793,10.590797357776879,0.001,,,,,
ridge_regression,2.8889057264767155,3.5185435097022073,0.964428868832853,-0.025158837427219836,2.6491099915792304,10.61638473095796,25.0,,,,,
ridge_regression,2.894163963558132,3.525409270137023,0.9642899129601902,-0.023694899950261798,2.6053126672779072,10.626773304247465,50.0,,,,,
ridge_regression,2.9074832959994787,3.5442887148984754,0.9639064160198214,-0.022059993626424766,2.6262662291748313,10.60034653165188,100.0,,,,,
random_forest_regressor,3.0447161689701083,3.749388867776672,0.9596082382872482,-0.07801123038611976,2.6063254238816853,12.586577261904772,,,1.0,2.0,2.0,200.0
random_forest_regressor,3.0447161689701088,3.749388867776672,0.9596082382872482,-0.07801123038611965,2.6063254238816853,12.586577261904772,,,1.0,2.0,4.0,200.0
random_forest_regressor,3.0447161689701088,3.7493888677766725,0.9596082382872482,-0.0780112303861196,2.6063254238816853,12.586577261904772,,30.0,1.0,2.0,2.0,200.0
random_forest_regressor,3.0447161689701088,3.7493888677766725,0.9596082382872482,-0.0780112303861198,2.6063254238816853,12.586577261904772,,30.0,1.0,2.0,4.0,200.0
random_forest_regressor,3.0458091617174055,3.7509283735170573,0.9595750616189903,-0.07815223006150837,2.611314166666695,12.5911105952381,,20.0,1.0,2.0,4.0,200.0
random_forest_regressor,3.045809161717406,3.7509283735170573,0.9595750616189903,-0.07815223006150882,2.6113141666666877,12.5911105952381,,20.0,1.0,2.0,2.0,200.0
random_forest_regressor,3.0494366692893498,3.7503904895477103,0.9595866546781532,-0.09014149489484583,2.7173923908730053,12.359333839285704,,30.0,1.0,2.0,2.0,400.0
random_forest_regressor,3.0494366692893498,3.750390489547711,0.9595866546781532,-0.09014149489484592,2.7173923908730124,12.359333839285704,,,1.0,2.0,2.0,400.0
random_forest_regressor,3.04943666928935,3.7503904895477107,0.9595866546781532,-0.09014149489484612,2.7173923908730124,12.359333839285704,,30.0,1.0,2.0,4.0,400.0
random_forest_regressor,3.04943666928935,3.750390489547711,0.9595866546781532,-0.09014149489484626,2.7173923908730124,12.359333839285704,,,1.0,2.0,4.0,400.0
random_forest_regressor,3.050380233244489,3.751216443864697,0.9595688521305287,-0.0910119977459429,2.7158821428571684,12.370175505952368,,20.0,1.0,2.0,2.0,400.0
random_forest_regressor,3.050380233244489,3.751216443864697,0.9595688521305287,-0.09101199774594297,2.7158821428571684,12.370175505952368,,20.0,1.0,2.0,4.0,400.0
random_forest_regressor,3.050625967077727,3.7728964256624136,0.9591001617506845,-0.0707731159750373,2.6249688891962393,12.713393042557335,,10.0,1.0,2.0,8.0,200.0
random_forest_regressor,3.0510709835217704,3.7555817990684357,0.959474696530449,-0.08347459236689825,2.5920494018155154,12.541382182123478,,20.0,1.0,2.0,8.0,200.0
random_forest_regressor,3.0511972631395157,3.7557206928904474,0.9594716989558134,-0.08346606191669045,2.5920494018155225,12.541382182123478,,,1.0,2.0,8.0,200.0
random_forest_regressor,3.0511972631395166,3.7557206928904474,0.9594716989558134,-0.08346606191669048,2.5920494018155225,12.541382182123478,,30.0,1.0,2.0,8.0,200.0
random_forest_regressor,3.051667522575339,3.757531644802645,0.9594326052610416,-0.09532007915477023,2.6294486177248544,12.380879603174627,,,1.0,2.0,2.0,600.0
random_forest_regressor,3.051667522575339,3.757531644802645,0.9594326052610416,-0.09532007915477018,2.6294486177248544,12.380879603174627,,30.0,1.0,2.0,4.0,600.0
random_forest_regressor,3.051667522575339,3.757531644802645,0.9594326052610415,-0.09532007915477006,2.6294486177248615,12.380879603174641,,,1.0,2.0,4.0,600.0
random_forest_regressor,3.051667522575339,3.757531644802645,0.9594326052610415,-0.09532007915476967,2.6294486177248615,12.380879603174627,,30.0,1.0,2.0,2.0,600.0
